,level_0,index,pl_name,planet_status,pl_massj,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,pl_radj,radius_error_min,radius_error_max,pl_orbper,orbital_period_error_min,orbital_period_error_max,pl_orbsmax,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,sy_vmag,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,st_mass,star_mass_error_min,star_mass_error_max,st_rad,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,st_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_refname,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,ttv_flag,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_occdep,pl_occdeperr1,pl_occdeperr2,pl_occdeplim,pl_orbtper,pl_orbtpererr1,pl_orbtpererr2,pl_orbtperlim,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_orblperlim,pl_rvamp,pl_rvamperr1,pl_rvamperr2,pl_rvamplim,pl_projobliq,pl_projobliqerr1,pl_projobliqerr2,pl_projobliqlim,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,pl_trueobliqlim,st_refname,st_spectype,st_tefferr1,st_tefferr2,st_tefflim,st_raderr1,st_raderr2,st_radlim,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_age,st_ageerr1,st_ageerr2,st_agelim,st_dens,st_denserr1,st_denserr2,st_denslim,st_vsin,st_vsinerr1,st_vsinerr2,st_vsinlim,st_rotp,st_rotperr1,st_rotperr2,st_rotplim,st_radv,st_radverr1,st_radverr2,st_radvlim,sy_refname,rastr,decstr,sy_pm,sy_pmerr1,sy_pmerr2,sy_pmra,sy_pmraerr1,sy_pmraerr2,sy_pmdec,sy_pmdecerr1,sy_pmdecerr2,sy_dist,sy_disterr1,sy_disterr2,sy_plx,sy_plxerr1,sy_plxerr2,sy_bmag,sy_bmagerr1,sy_bmagerr2,sy_vmagerr1,sy_vmagerr2,sy_jmag,sy_jmagerr1,sy_jmagerr2,sy_hmag,sy_hmagerr1,sy_hmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,sy_icmag,sy_icmagerr1,sy_icmagerr2,sy_tmag,sy_tmagerr1,sy_tmagerr2,sy_kepmag,sy_kepmagerr1,sy_kepmagerr2,rowupdate,pl_pubdate,releasedate,_merge
0,0,0,51 Peg b,Confirmed,0.47,0.07,0.03,0.46,0.06,0.01,1.9,0.3,0.3,4.2308,3.72905e-05,3.72905e-05,0.052,,,0.0069,0.0066,0.0069,80.0,10.0,19.0,0.003537,1995.0,2017-01-26,54.1,72.3,72.3,2450404.4,,,,,,,,,,,,,,,,,,2497.0,0.022,0.022,55.65,0.53,0.53,,,,,,0.5,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Theoretical,,"CO, H2O",51 Peg,344.3625,20.7686111,5.49,,,,,14.7,,,0.2,0.07,0.07,1.11,0.06,0.06,1.266,0.046,0.046,G2 IV,4.0,2.5,2.5,5793.0,70.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
1,1,1,AD 3116 b,Confirmed,54.2,4.3,4.3,,,,1.02,0.28,0.28,1.982796,6.4e-06,6.4e-06,,,,0.146,0.025,0.025,88.4,0.5,0.5,,2017.0,2019-04-03,5.0,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,AD 3116,130.664333382,19.4144163157,,,14.348,13.769,,186.54,4.991,4.991,,,,0.276,0.02,0.02,0.29,0.08,0.08,M3.9,,,,3200.0,200.0,200.0,,,"EPIC 211946007, 2MASS J08423943+1924520",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
2,2,2,BD-10 3166 b,Confirmed,,,,0.46,,,1.03,,,3.4878,0.0001,0.0001,0.046,,,0.0104,0.0192,0.0104,,,,0.000697,2000.0,2015-02-24,345.4,83.9,83.9,2451844.7,,,,,,,,,,,,,,,,,,,,,60.53,1.44,1.44,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Theoretical,,,BD-10 3166,164.6166667,-10.7702778,10.08,,,,,66.0,,,0.5,,,0.99,,,1.71,,,G4 V,4.18,,,5400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
3,3,3,CoRoT-1 b,Confirmed,1.03,0.12,0.12,,,,1.49,0.08,0.08,1.5089557,6.4e-06,6.4e-06,0.0254,0.0004,0.0004,0.0,,,83.96,0.18,0.18,5.5e-05,2007.0,2019-04-12,,,,,,,,,,2454159.4532,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-1,102.0791667,-3.1022222,13.6,,,,,460.0,100.0,100.0,0.06,0.07,0.07,0.95,0.15,0.15,1.11,0.05,0.05,G0V,,,,6298.0,66.0,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
4,4,4,CoRoT-11 b,Confirmed,2.33,0.27,0.27,,,,1.43,0.033,0.033,2.994325,2.1e-05,2.1e-05,0.04351,0.00036,0.00036,0.0,,,81.41,0.17,0.17,7.8e-05,2010.0,2014-08-17,,,,,,,,,,2454597.679688,0.0003,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-11,280.6875,5.9377778,12.94,,,,,560.0,30.0,30.0,0.04,0.03,0.03,1.27,0.05,0.05,1.36,0.13,0.13,F6V,2.0,1.0,1.0,6343.0,72.0,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
5,5,5,CoRoT-12 b,Confirmed,0.917,0.065,0.07,,,,1.44,0.13,0.13,2.828042,1.3e-05,1.3e-05,0.04016,0.00092,0.00092,0.07,0.042,0.042,85.48,0.77,0.77,3.5e-05,2010.0,2014-08-16,105.0,27.0,27.0,,,,,,,2454398.62707,0.00036,0.00036,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-12,100.7666667,-1.2963889,15.52,,,,,1150.0,85.0,85.0,0.16,0.1,0.1,1.078,0.072,0.072,1.116,0.092,0.092,G2V,6.3,3.1,3.1,5675.0,80.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
6,6,6,CoRoT-13 b,Confirmed,1.308,0.066,0.066,,,,0.885,0.014,0.014,4.03519,3e-05,3e-05,0.051,0.0031,0.0031,0.0,,,88.02,0.036,0.036,3.9e-05,2010.0,2014-08-16,,,,,,,,,,2454790.8091,0.0006,0.0006,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-13,102.7208333,-5.0863889,15.04,,,,,1310.0,100.0,100.0,0.01,0.07,0.07,1.09,0.02,0.02,1.01,0.03,0.03,G0V,1.64,1.52,1.52,5945.0,90.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
7,7,7,CoRoT-14 b,Confirmed,7.6,0.6,0.6,,,,1.09,0.07,0.07,1.51214,0.00013,0.00013,0.027,0.002,0.002,0.0,,,79.6,0.8,0.8,2e-05,2010.0,2014-01-24,,,,2454787.6702,,,,,,2454787.6694,0.0053,0.0053,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-14,103.425,-5.5361111,16.03,,,,,1340.0,110.0,110.0,0.05,0.15,0.15,1.13,0.09,0.09,1.21,0.08,0.08,F9V,4.2,3.8,3.8,6035.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
8,8,8,CoRoT-15 b,Confirmed,63.4,4.1,4.3,63.3,4.0,4.0,1.12,0.15,0.3,3.06036,3e-05,3e-05,0.045,0.01,0.014,0.0,,,86.7,3.2,2.3,,2010.0,2015-09-23,,,,,,,,,,2454753.5608,0.0011,0.0011,,,,,,,0.38,0.26,0.26,,,,7.36,0.11,0.11,1740.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,CoRoT-15,97.116666676,6.18624167266,,,,,,,,,,,,,,,,,,F7V,,,,,,,,,2MASS J06282781+0611105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
9,9,9,CoRoT-16 b,Confirmed,0.535,0.085,0.085,,,,1.17,0.14,0.14,5.35227,0.0002,0.0002,0.0618,0.0015,0.0015,0.33,0.1,0.1,85.01,1.2,1.2,7.4e-05,2010.0,2014-01-24,168.41,21.0,21.0,,,,,,,2454923.9138,0.0022,0.0022,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-16,278.525,-6.0025,15.64,,,,,840.0,90.0,90.0,0.19,0.06,0.06,1.098,0.078,0.078,1.19,0.14,0.14,G5V,6.73,2.8,2.8,5650.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
