# wavelength (nm), throughput
440,0.023552517
440.1000061,0.020439015
440.2000122,0.026098275
440.2999878,0.028781223
440.3999939,0.03149734
440.5,0.034214013
440.6000061,0.036877693
440.7000122,0.03950535
440.7999878,0.042040227
440.8999939,0.044445749
441,0.04669026
441.1000061,0.04871886
441.2000122,0.050518474
441.2999878,0.052058521
441.3999939,0.053313444
441.5,0.054257415
441.6000061,0.054866371
441.7000122,0.05513544
441.7999878,0.055046713
441.8999939,0.054592865
442,0.053774267
442.1000061,0.052571861
442.2000122,0.051022917
442.2999878,0.049143919
442.3999939,0.046960478
442.5,0.044500439
442.6000061,0.041828183
442.7000122,0.038934052
442.7999878,0.035880694
442.8999939,0.032719663
443,0.029492982
443.1000061,0.026258399
443.2000122,0.023053259
443.2999878,0.021887397
443.3999939,0.026939234
443.5,0.029598336
443.6000061,0.032279864
443.7000122,0.034954148
443.7999878,0.037591765
443.8999939,0.040164587
444,0.042613848
444.1000061,0.044924273
444.2000122,0.047067122
444.2999878,0.049012624
444.3999939,0.050729053
444.5,0.05218905
444.6000061,0.05336795
444.7000122,0.054242501
444.7999878,0.054794256
444.8999939,0.055007717
445,0.054877019
445.1000061,0.054423594
445.2000122,0.053620622
445.2999878,0.052468122
445.3999939,0.050978776
445.5,0.049166198
445.6000061,0.047056652
445.7000122,0.044676655
445.7999878,0.042059283
445.8999939,0.039246747
446,0.036272131
446.1000061,0.033213198
446.2000122,0.030049927
446.2999878,0.026860639
446.3999939,0.023691529
446.5,0.020587407
446.6000061,0.02622821
446.7000122,0.028825675
446.7999878,0.03144935
446.8999939,0.034075356
447,0.036674593
447.1000061,0.039187953
447.2000122,0.041587914
447.2999878,0.043890626
447.3999939,0.046042465
447.5,0.048013129
447.6000061,0.049773047
447.7000122,0.051295484
447.7999878,0.052555288
447.8999939,0.053529585
448,0.054202029
448.1000061,0.054612616
448.2000122,0.054692358
448.2999878,0.054436871
448.3999939,0.053838519
448.5,0.052900408
448.6000061,0.051629154
448.7000122,0.05004112
448.7999878,0.048151022
448.8999939,0.045984459
449,0.043565878
449.1000061,0.040928973
449.2000122,0.038108467
449.2999878,0.035173763
449.3999939,0.032106184
